x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time2
23200,18000,50,44,26,1,2.125,5.48
23200,18000,80,17,32,1,3.0,2.93
23200,18000,100,12,30,1,1.3333333333333333,2.19
23200,18000,80,60,24,0,1.8,1.96
10000,10000,20,25,14,1,1.75,36.05
46000,14400,80,40,30,0,1.5714285714285714,4.03
7200,24000,20,52,36,0,1.0,37.62
7200,24000,80,30,14,1,1.2857142857142858,1.62
46000,14400,80,18,16,0,1.5333333333333334,8.37
10000,10000,20,36,34,1,3.8571428571428568,16.68
23200,18000,100,28,22,1,1.0,1.51
7200,24000,20,22,36,0,3.75,71.82
7200,24000,80,22,28,0,1.0,2.11
30000,12000,20,20,16,1,2.0270270270270268,140.36
7200,24000,50,24,30,1,1.5,3.58
23200,18000,20,16,30,1,2.4,135.42
7200,24000,100,21,16,0,1.8,1.43
23200,18000,80,54,28,1,1.6,1.58
30000,12000,50,44,18,1,3.571428571428572,5.29
7200,24000,20,22,28,1,3.9230769230769234,41.91
30000,12000,80,15,32,1,3.0,2.86
10000,10000,20,46,36,1,3.5,13.62
30000,12000,20,21,24,1,2.2142857142857144,99.76
10000,10000,50,38,24,0,1.6,3.07
7200,24000,80,15,16,1,2.142857142857143,2.19
7200,24000,20,58,18,1,1.0,24.11
7200,24000,50,16,22,1,1.8,5.19
30000,12000,50,43,34,0,1.8571428571428568,6.81
10000,10000,20,26,30,0,4.75,39.42
7200,24000,80,52,14,1,1.2,2.3
10000,10000,20,18,26,0,1.4210526315789471,54.65
23200,18000,50,45,28,1,3.6666666666666665,5.07
7200,24000,100,10,24,0,2.8,1.91
23200,18000,50,56,24,1,1.75,4.66
30000,12000,20,48,20,1,1.48,51.71
10000,10000,80,22,16,1,1.4,1.29
46000,14400,80,57,24,0,3.0,2.94
10000,10000,20,52,20,1,1.5833333333333333,16.16
30000,12000,80,12,36,0,4.6,5.64
30000,12000,100,20,28,0,1.1428571428571428,2.24
23200,18000,50,35,24,0,2.875,9.51
46000,14400,100,28,30,1,3.0,1.97
46000,14400,50,33,16,1,1.5,11.96
10000,10000,100,12,30,0,1.0,1.21
7200,24000,50,38,36,0,1.3333333333333333,4.54
23200,18000,50,36,20,1,2.7777777777777777,6.06
23200,18000,50,24,36,0,1.5454545454545454,11.71
23200,18000,80,15,20,0,1.7272727272727273,5.71
