x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration
10000,10000,20,500,500,14,18,252,41,23,12,21,1.7826086956521738,0,1,152.8428775219075
10000,10000,20,500,500,14,18,252,41,23,12,21,1.7826086956521738,1,1,106.99001426533525
10000,10000,20,500,500,14,18,252,55,17,9,28,3.235294117647059,0,1,152.8428775219075
10000,10000,20,500,500,14,18,252,55,17,9,28,3.235294117647059,1,1,106.99001426533525
10000,10000,20,500,500,14,20,280,35,25,14,20,1.4,0,1,137.55858976971675
10000,10000,20,500,500,14,20,280,35,25,14,20,1.4,1,1,96.29101283880172
10000,10000,20,500,500,14,20,280,50,17,10,28,2.9411764705882355,0,1,137.55858976971675
10000,10000,20,500,500,14,20,280,50,17,10,28,2.9411764705882355,1,1,96.29101283880172
10000,10000,20,500,500,14,20,280,62,14,8,35,4.428571428571429,0,1,137.55858976971675
10000,10000,20,500,500,14,20,280,62,14,8,35,4.428571428571429,1,1,96.29101283880172
10000,10000,20,500,500,14,22,308,35,22,14,22,1.5909090909090908,0,1,125.05326342701524
10000,10000,20,500,500,14,22,308,35,22,14,22,1.5909090909090908,1,1,87.53728439891066
10000,10000,20,500,500,14,22,308,45,17,11,28,2.6470588235294117,0,1,125.05326342701524
10000,10000,20,500,500,14,22,308,45,17,11,28,2.6470588235294117,1,1,87.53728439891066
10000,10000,20,500,500,14,24,336,31,23,16,21,1.3478260869565217,0,1,114.63215814143064
10000,10000,20,500,500,14,24,336,31,23,16,21,1.3478260869565217,1,1,80.24251069900144
10000,10000,20,500,500,14,24,336,35,20,14,24,1.75,0,1,114.63215814143064
10000,10000,20,500,500,14,24,336,35,20,14,24,1.75,1,1,80.24251069900144
10000,10000,20,500,500,14,24,336,41,17,12,28,2.411764705882353,0,1,114.63215814143064
10000,10000,20,500,500,14,24,336,41,17,12,28,2.411764705882353,1,1,80.24251069900144
10000,10000,20,500,500,14,26,364,35,19,14,26,1.8421052631578947,0,1,105.81429982285904
10000,10000,20,500,500,14,26,364,35,19,14,26,1.8421052631578947,1,1,74.07000987600132
10000,10000,20,500,500,14,26,364,38,17,13,28,2.235294117647059,0,1,105.81429982285904
10000,10000,20,500,500,14,26,364,38,17,13,28,2.235294117647059,1,1,74.07000987600132
10000,10000,20,500,500,14,28,392,35,17,14,28,2.0588235294117645,0,1,98.25613554979768
10000,10000,20,500,500,14,28,392,35,17,14,28,2.0588235294117645,1,1,68.77929488485837
10000,10000,20,500,500,14,30,420,25,23,20,21,1.0869565217391304,0,1,91.7057265131445
10000,10000,20,500,500,14,30,420,25,23,20,21,1.0869565217391304,1,1,64.19400855920115
10000,10000,20,500,500,14,30,420,33,17,15,28,1.9411764705882353,0,1,91.7057265131445
10000,10000,20,500,500,14,30,420,33,17,15,28,1.9411764705882353,1,1,64.19400855920115
10000,10000,20,500,500,14,30,420,35,16,14,30,2.1875,0,1,91.7057265131445
10000,10000,20,500,500,14,30,420,35,16,14,30,2.1875,1,1,64.19400855920115
10000,10000,20,500,500,14,30,420,41,14,12,35,2.9285714285714284,0,1,91.7057265131445
10000,10000,20,500,500,14,30,420,41,14,12,35,2.9285714285714284,1,1,64.19400855920115
10000,10000,20,500,500,14,30,420,50,11,10,42,4.545454545454546,0,1,91.7057265131445
10000,10000,20,500,500,14,30,420,50,11,10,42,4.545454545454546,1,1,64.19400855920115
10000,10000,20,500,500,14,32,448,31,17,16,28,1.8235294117647058,0,1,85.97411860607298
10000,10000,20,500,500,14,32,448,31,17,16,28,1.8235294117647058,1,1,60.18188302425108
10000,10000,20,500,500,14,32,448,35,15,14,32,2.3333333333333335,0,1,85.97411860607298
10000,10000,20,500,500,14,32,448,35,15,14,32,2.3333333333333335,1,1,60.18188302425108
10000,10000,20,500,500,14,34,476,29,17,17,28,1.7058823529411764,0,1,80.9168175115981
10000,10000,20,500,500,14,34,476,29,17,17,28,1.7058823529411764,1,1,56.641772258118664
10000,10000,20,500,500,14,34,476,35,14,14,34,2.5,0,1,80.9168175115981
10000,10000,20,500,500,14,34,476,35,14,14,34,2.5,1,1,56.641772258118664
